learning_rate,max_depth,n_estimators,min_data_in_leaf,mean_score
0.01,3,50,5,0.007796208487340974
0.01,3,50,10,0.00825998032554082
0.01,3,50,20,0.008549637735894223
0.01,3,100,5,0.006583539283975842
0.01,3,100,10,0.0069783327102671214
0.01,3,100,20,0.007435172307832713
0.01,3,200,5,0.005619166207790736
0.01,3,200,10,0.005853165132858626
0.01,3,200,20,0.006378065225094781
0.01,5,50,5,0.007454519088781549
0.01,5,50,10,0.008154031073072667
0.01,5,50,20,0.008549637735894223
0.01,5,100,5,0.006259305103627795
0.01,5,100,10,0.006774457388314105
0.01,5,100,20,0.007435172307832713
0.01,5,200,5,0.005539896181308093
0.01,5,200,10,0.005657300967433119
0.01,5,200,20,0.006378065225094781
0.01,7,50,5,0.007476015802780846
0.01,7,50,10,0.008161898569209309
0.01,7,50,20,0.008549637735894223
0.01,7,100,5,0.006354251757394025
0.01,7,100,10,0.006789983245863003
0.01,7,100,20,0.007435172307832713
0.01,7,200,5,0.005447598996663321
0.01,7,200,10,0.005658940474282592
0.01,7,200,20,0.006378065225094781
0.05,3,50,5,0.005500512403628466
0.05,3,50,10,0.005606097011392705
0.05,3,50,20,0.006035451839978896
0.05,3,100,5,0.00509152548241487
0.05,3,100,10,0.005068320102201916
0.05,3,100,20,0.00537634469899625
0.05,3,200,5,0.0049684971503385035
0.05,3,200,10,0.004935023966340782
0.05,3,200,20,0.0051147805586782185
0.05,5,50,5,0.005298251100882967
0.05,5,50,10,0.0054170823877194825
0.05,5,50,20,0.006035451839978896
0.05,5,100,5,0.005081495158671489
0.05,5,100,10,0.004947082644801161
0.05,5,100,20,0.00537634469899625
0.05,5,200,5,0.005081495158671489
0.05,5,200,10,0.004902990355628181
0.05,5,200,20,0.0051147805586782185
0.05,7,50,5,0.005198976242973698
0.05,7,50,10,0.005375316021312339
0.05,7,50,20,0.006035451839978896
0.05,7,100,5,0.004900106784273621
0.05,7,100,10,0.0048682614101578005
0.05,7,100,20,0.00537634469899625
0.05,7,200,5,0.0048466524278327535
0.05,7,200,10,0.004768915557864871
0.05,7,200,20,0.0051147805586782185
0.1,3,50,5,0.004789987156024415
0.1,3,50,10,0.004983975639436934
0.1,3,50,20,0.005376201966143579
0.1,3,100,5,0.004650135330909009
0.1,3,100,10,0.0047938685399965455
0.1,3,100,20,0.005170793867466356
0.1,3,200,5,0.004630491391150279
0.1,3,200,10,0.0047938685399965455
0.1,3,200,20,0.005065189688441926
0.1,5,50,5,0.004990800245391612
0.1,5,50,10,0.004956326924956527
0.1,5,50,20,0.005376201966143579
0.1,5,100,5,0.004917469052686835
0.1,5,100,10,0.004901431232512002
0.1,5,100,20,0.005170793867466356
0.1,5,200,5,0.004917469052686835
0.1,5,200,10,0.004901431232512002
0.1,5,200,20,0.005065189688441926
0.1,7,50,5,0.005049496767889805
0.1,7,50,10,0.005061274845774341
0.1,7,50,20,0.005376201966143579
0.1,7,100,5,0.005016908323173036
0.1,7,100,10,0.005023309785734141
0.1,7,100,20,0.005170793867466356
0.1,7,200,5,0.005016908323173036
0.1,7,200,10,0.005023309785734141
0.1,7,200,20,0.005065189688441926
