y_true_LightGBM,y_pred_LightGBM,y_true_TCN_refined,y_pred_TCN_refined
0.0,-0.0126993613214128,0.0,0.08553479
0.0535714285714285,0.1154467620887008,0.05357143,0.23146212
0.2488888888888888,0.1976382474592175,0.2488889,0.29628757
0.1216216216216216,0.1559962076376974,0.12162162,0.30115792
0.2758620689655172,0.2113220660568819,0.27586207,0.28651014
0.0232558139534883,0.0458163151070567,0.023255814,0.08977431
0.1370967741935483,0.1545968611549308,0.13709678,0.29555625
0.0319148936170212,0.0573535780173181,0.031914894,0.1913046
0.1639344262295081,0.1492932986353831,0.16393442,0.20050243
0.0925925925925925,0.0918112196531182,0.09259259,0.24304907
0.1111111111111111,0.0678522269737643,0.11111111,0.1116579
0.203125,0.2422839870139507,0.203125,0.31930175
0.0,0.0174044577152064,0.0,0.083481476
0.1739606126914661,0.1209401578887973,0.17396061,0.34213808
0.1612021857923497,0.2026099954854464,0.16120219,0.37885267
